NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2）,B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income
2021010001,1,1,1,2,1,2,2,2,1,1,2,2,2,4,8,2,3,2,5,1,3,9,1,3,1,1,3
2021010028,1,1,1,2,1,2,2,2,1,2,2,2,2,5,5,3,3,3,3,1,3,8,2,3,2,2,1
2021010039,1,1,1,1,1,98,2,2,2,2,2,2,2,5,7,3,2,3,3,1,98,6,2,3,2,98,2
2021010048,1,1,1,2,1,2,2,2,2,2,2,2,2,5,6,3,1,2,3,98,98,8,2,2,1,1,1
2021010050,1,1,1,2,2,1,2,2,2,1,2,2,2,3,3,3,2,2,3,1,1,10,1,3,1,1,2
2021010085,1,1,1,1,1,98,2,2,2,2,2,2,2,5,8,3,1,2,3,3,2,8,1,3,1,2,2
2021010088,1,1,2,2,1,2,2,2,2,2,2,2,2,4,6,1,1,3,4,3,3,7,1,3,1,1,2
2021010090,1,1,1,2,2,2,2,2,1,2,2,2,2,3,7,4,3,3,3,3,3,7,2,2,2,1,2
2021010095,1,1,1,2,2,2,1,2,98,2,2,2,2,5,8,4,1,2,98,3,3,2,1,3,1,1,1
2021010109,1,1,1,1,1,98,1,98,2,2,2,98,2,5,10,3,1,98,98,3,3,5,1,3,1,1,1
2021010110,1,1,2,2,1,2,2,2,1,2,2,2,2,5,6,2,1,2,3,1,3,10,1,3,1,1,3
2021010115,1,1,2,2,1,1,2,2,2,2,2,2,2,5,10,3,3,4,3,1,1,9,2,2,1,1,3
2021010144,1,1,1,1,1,2,1,2,1,2,2,2,2,5,4,3,3,5,3,1,1,9,3,3,3,1,2
2021010153,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,10,2,3,2,1,3
2021010154,1,1,1,1,1,1,2,2,1,2,2,2,2,4,9,3,1,2,98,3,3,8,1,3,1,1,2
2021010156,1,1,1,2,1,2,2,2,1,1,1,2,2,5,7,2,1,3,2,1,2,7,3,3,2,1,2
2021010159,1,1,1,1,1,1,1,2,2,2,2,2,2,5,10,3,2,2,3,3,3,7,2,3,1,1,3
2021010160,1,1,2,2,1,98,2,2,2,2,2,2,2,5,6,2,2,2,3,1,3,8,1,3,1,1,3
2021010165,1,1,1,2,1,2,1,2,2,2,2,2,98,5,10,3,1,4,3,3,3,4,1,3,2,2,3
