NFCSID,A1(筛选value=1,A3,B2_1（整理所有B_2�?B2_2,B2_3,B2_4,B2_5,B2_7,B2_20,B2_21,B2_23,B2_24,B2_25,B30,B4_x,B10,C22_3,C24,D2,D21,D30,G1,G30_1,G30_2,G30_3,G7,S_Income,STATEQ,A50B,A5_2015,A7A,A8_2021,A9,A10,J1,J2,J4,J40,J51_1,J51_2,J51_3,J51_4,J51_5,J51_6,J51_98,J51_99,J52,J32,J33_40,J53,J41_1,J41_2,J41_3,J42_1,J42_2,J43,B1,B2,B4_y,C1_2012,C2_2012,EA_1,E7,E8,pay credit card in full,unpaid medical bill,too much debt,good at dealing with financial matters,financial knowledge,wgt_n2,wgt_d2,wgt_s3,
2021010001,1,1,1,2,1,2,2,2,1,1,2,2,2,4,8,2,3,2,5,1,3,9,1,3,1,1,3,41,8,6,1,9,2,2,9,9,3,1,,,,,,,,,2,5,2,4,1,1,1,5,1,4,1,1,2,1,3,1,1,2,0,2,1,7,6,0.834315868,0.539386452,0.725252005
2021010028,1,1,1,2,1,2,2,2,1,2,2,2,2,5,5,3,3,3,3,1,3,8,2,3,2,2,1,21,12,6,3,4,2,,3,6,2,1,0,1,0,0,0,0,0,0,1,5,5,5,4,3,3,1,3,2,1,1,2,2,,1,1,2,0,2,5,6,6,0.990720719,0.737829176,0.834314563
2021010050,1,1,1,2,2,1,2,2,2,1,2,2,2,3,3,3,2,2,3,1,1,10,1,3,1,1,2,5,9,6,1,5,1,1,7,7,3,1,0,0,1,1,0,0,0,0,2,5,3,4,3,1,3,5,1,4,1,1,2,1,2,2,,,1,2,1,7,6,1.037538904,2.280892056,0.969858107
2021010088,1,1,2,2,1,2,2,2,2,2,2,2,2,4,6,1,1,3,4,3,3,7,1,3,1,1,2,11,11,7,3,5,2,,10,8,3,2,0,0,1,0,0,0,0,0,2,5,1,3,1,1,1,5,1,4,1,1,2,1,,1,1,2,1,2,1,7,6,1.387514488,1.513007898,1.210386791
2021010090,1,1,1,2,2,2,2,2,1,2,2,2,2,3,7,4,3,3,3,3,3,7,2,2,2,1,2,44,12,6,3,6,8,,5,1,3,1,0,0,1,0,0,0,0,0,2,5,7,6,5,2,5,3,4,2,1,1,2,2,,1,1,2,1,1,1,7,3,1.246051118,2.259005138,0.842360144
2021010110,1,1,2,2,1,2,2,2,1,2,2,2,2,5,6,2,1,2,3,1,3,10,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021010115,1,1,2,2,1,1,2,2,2,2,2,2,2,5,10,3,3,4,3,1,1,9,2,2,1,1,3,23,6,7,3,7,8,,9,5,3,1,0,0,0,1,0,0,0,0,2,5,1,4,1,1,1,5,1,4,1,1,2,1,,2,,,1,2,1,7,7,1.344484511,1.071656853,1.011237853
2021010144,1,1,1,1,1,2,1,2,1,2,2,2,2,5,4,3,3,5,3,1,1,9,3,3,3,1,2,44,3,7,3,6,1,,7,7,2,1,0,1,0,0,0,0,0,0,2,5,7,6,2,3,5,2,3,3,1,1,2,1,,1,2,2,1,2,5,6,6,1.191299485,2.174449985,0.816474013
2021010153,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,3,2,1,3,3,2,10,2,3,2,1,3,41,6,7,1,7,8,4,10,8,3,1,0,0,1,0,0,0,0,0,2,5,1,1,1,1,1,5,2,4,1,1,2,2,,2,,,1,2,1,7,7,1.035166131,0.63266884,0.829328484
2021010156,1,1,1,2,1,2,2,2,1,1,1,2,2,5,7,2,1,3,2,1,2,7,3,3,2,1,2,50,6,6,1,6,8,8,6,7,3,1,1,0,1,0,1,0,0,0,2,5,3,5,3,1,2,4,3,2,1,1,2,2,,1,2,2,1,2,3,7,6,1.344484511,0.620426518,0.949967825
2021010159,1,1,1,1,1,1,1,2,2,2,2,2,2,5,10,3,2,2,3,3,3,7,2,3,1,1,3,26,6,7,1,8,8,8,10,5,3,1,,,,,,,,,2,5,2,5,1,1,1,5,3,4,1,1,2,1,1,1,2,2,1,2,1,7,5,0.456377341,1.820554259,0.929687246
2021010167,1,1,1,2,1,2,2,2,2,2,2,2,2,5,10,2,3,1,6,3,3,8,1,3,1,1,3,10,6,5,3,8,8,,10,10,3,2,,,,,,,,,2,5,1,4,1,1,1,5,2,4,1,1,2,1,,1,2,2,1,2,1,7,5,1.281741582,2.900545211,0.901867016
2021010172,1,1,1,2,1,1,1,2,2,2,2,2,1,5,10,2,2,3,3,1,3,8,2,3,1,1,1,14,12,7,3,4,8,,10,8,3,1,0,0,0,0,1,0,0,0,2,5,1,3,1,1,1,3,1,4,1,1,2,1,,1,2,2,1,2,1,7,6,1.286758348,1.271450136,0.959782811
2021010182,1,1,1,2,1,1,1,2,2,2,2,2,2,5,7,3,3,1,4,3,3,7,1,3,1,2,2,31,11,5,3,5,8,,9,6,3,1,1,0,1,0,1,0,0,0,2,5,2,2,1,1,1,5,1,4,1,1,2,1,,1,1,2,1,2,2,7,7,2.173655206,0.673078224,1.051331704
2021010191,1,1,1,2,2,2,2,2,2,2,2,2,2,5,6,2,1,1,4,3,3,10,1,3,2,1,3,5,12,7,3,8,2,,9,9,3,1,,,,,,,,,2,5,1,5,1,1,1,5,2,4,1,1,2,1,,1,2,2,1,2,1,7,7,0.51468048,1.721861476,0.718271633
2021010197,1,1,1,2,2,2,2,2,2,2,2,2,2,5,8,2,3,1,3,3,3,9,3,3,2,1,1,44,6,7,3,4,8,,8,8,3,1,1,0,1,0,0,0,0,0,2,5,1,2,2,1,2,5,2,3,1,2,2,2,,1,2,2,1,2,1,7,6,1.301951085,2.574447379,1.013442864
2021010203,1,1,1,1,2,2,2,2,2,2,2,2,2,5,10,3,3,1,1,1,3,9,3,3,1,1,3,44,5,7,1,7,7,7,8,7,3,1,1,0,1,0,0,0,0,0,2,5,1,4,1,1,1,5,1,4,1,1,2,1,2,1,2,2,1,2,1,7,7,1.301951085,2.574447379,1.013442864
2021010215,1,1,1,1,1,1,2,2,2,1,2,2,2,5,10,2,3,1,3,3,3,9,3,3,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021010240,1,1,1,2,1,2,2,2,2,2,2,2,2,5,10,3,3,1,3,1,2,10,2,3,1,1,3,31,5,6,1,7,1,2,7,7,3,2,0,0,1,0,0,0,0,0,2,5,1,4,1,1,1,5,1,4,1,1,2,1,2,1,2,2,1,2,1,7,7,1.834252185,0.59188576,0.977157105
2021010244,1,1,2,2,1,1,2,2,1,1,2,2,2,5,10,3,1,3,3,3,3,9,1,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021010312,1,1,1,2,2,2,2,2,2,2,2,2,2,5,9,3,1,2,2,3,3,6,2,2,1,1,3,5,6,6,3,7,8,,8,3,3,1,,,,,,,,,2,5,4,5,1,1,2,5,1,4,1,1,2,1,,1,2,2,1,2,1,7,6,0.623547326,1.385860287,0.563623475
2021010366,1,1,1,2,1,1,2,1,2,1,2,2,1,5,9,1,2,2,3,1,3,9,1,3,3,1,3,5,3,7,1,10,2,7,9,10,3,1,0,0,0,1,0,0,0,0,2,5,5,6,1,1,3,4,3,3,1,1,2,1,3,1,2,2,1,2,1,7,7,0.492065359,2.232959188,1.03249663
2021010374,1,1,1,2,1,2,2,2,2,2,2,2,2,5,6,3,1,2,3,3,3,7,1,3,1,1,1,21,12,2,2,3,8,8,8,5,3,1,0,0,1,0,0,0,0,0,2,5,4,4,2,1,2,4,2,3,1,1,2,1,1,1,2,2,1,2,1,7,6,1.22670932,0.873944083,1.052684139
2021010384,1,1,1,1,1,2,1,2,2,2,2,2,2,5,7,3,2,2,2,1,3,9,2,3,2,1,2,42,12,7,1,6,8,8,8,6,3,1,1,0,0,0,0,0,0,0,2,5,1,4,1,1,2,4,2,4,1,1,2,1,3,1,2,2,1,2,1,7,6,0.436782535,0.237199294,0.667937286
2021010404,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,1,1,3,3,3,4,2,2,2,1,1,12,6,5,3,3,8,,5,3,3,1,1,1,0,0,0,1,0,0,2,5,5,3,4,3,4,5,4,3,1,2,2,1,,1,1,2,0,2,5,6,5,2.382440342,0.248561924,1.366406493
2021010407,1,1,1,2,1,1,2,2,2,1,2,1,2,4,8,2,3,4,3,3,3,8,3,3,3,1,2,5,5,5,3,6,2,,9,8,3,1,,,,,,,,,2,5,2,3,1,1,2,4,1,3,1,1,2,1,,1,1,2,1,2,1,6,6,0.932552319,2.967673005,1.20072187
